category,subcategory,language,target_type,keyword,geo_scope,country,notes
buyer,trader/distributor,en,buyer,cocoa products distributor in France,country,France,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Germany,country,Germany,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Italy,country,Italy,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Morocco,country,Morocco,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Netherlands,country,Netherlands,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Poland,country,Poland,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Portugal,country,Portugal,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Spain,country,Spain,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Switzerland,country,Switzerland,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Tunisia,country,Tunisia,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Turkey,country,Turkey,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in UAE,country,UAE,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in UK,country,UK,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa trading company,global,,Buyer keyword
buyer,trader/distributor,en,buyer,food ingredients distributor cocoa,global,,Buyer keyword
buyer,trader/distributor,es,buyer,distribuidor de cacao,global,,Localized or LinkedIn keyword
buyer,trader/distributor,fr,buyer,distributeur cacao,global,,Localized or LinkedIn keyword
buyer,trader/distributor,fr,buyer,grossiste cacao,global,,Localized or LinkedIn keyword
general,general,en,seller,bulk cocoa supplier,global,,Base keyword
general,general,en,seller,cacao company,global,,Base keyword
general,general,en,seller,cacao exporter,global,,Base keyword
general,general,en,seller,cacao importer,global,,Base keyword
general,general,en,seller,cacao supplier,global,,Base keyword
general,general,en,seller,cacao trader,global,,Base keyword
general,general,en,seller,cocoa company,global,,Base keyword
general,general,en,seller,cocoa distributor,global,,Base keyword
general,general,en,seller,cocoa exporter,global,,Base keyword
general,general,en,seller,cocoa importer,global,,Base keyword
general,general,en,seller,cocoa ingredients supplier,global,,Base keyword
general,general,en,seller,cocoa processing company,global,,Base keyword
general,general,en,seller,cocoa processor,global,,Base keyword
general,general,en,seller,cocoa products supplier,global,,Base keyword
general,general,en,seller,cocoa products wholesaler,global,,Base keyword
general,general,en,seller,cocoa raw material supplier,global,,Base keyword
general,general,en,seller,cocoa supplier,global,,Base keyword
general,general,en,seller,cocoa trader,global,,Base keyword
general,general,en,seller,cocoa trader in Belgium,country,Belgium,Geo-targeted keyword
general,general,en,seller,cocoa trader in Egypt,country,Egypt,Geo-targeted keyword
general,general,en,seller,cocoa trader in France,country,France,Geo-targeted keyword
general,general,en,seller,cocoa trader in Germany,country,Germany,Geo-targeted keyword
general,general,en,seller,cocoa trader in Italy,country,Italy,Geo-targeted keyword
general,general,en,seller,cocoa trader in Morocco,country,Morocco,Geo-targeted keyword
general,general,en,seller,cocoa trader in Netherlands,country,Netherlands,Geo-targeted keyword
general,general,en,seller,cocoa trader in Poland,country,Poland,Geo-targeted keyword
general,general,en,seller,cocoa trader in Portugal,country,Portugal,Geo-targeted keyword
general,general,en,seller,cocoa trader in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
general,general,en,seller,cocoa trader in Spain,country,Spain,Geo-targeted keyword
general,general,en,seller,cocoa trader in Switzerland,country,Switzerland,Geo-targeted keyword
general,general,en,seller,cocoa trader in Tunisia,country,Tunisia,Geo-targeted keyword
general,general,en,seller,cocoa trader in Turkey,country,Turkey,Geo-targeted keyword
general,general,en,seller,cocoa trader in UAE,country,UAE,Geo-targeted keyword
general,general,en,seller,cocoa trader in UK,country,UK,Geo-targeted keyword
general,general,en,seller,cocoa wholesaler,global,,Base keyword
general,general,en,seller,industrial cocoa supplier,global,,Base keyword
general,general,es,seller,exportador de cacao,global,,Localized or LinkedIn keyword
general,general,es,seller,importador de cacao,global,,Localized or LinkedIn keyword
general,general,es,seller,proveedor de cacao,global,,Localized or LinkedIn keyword
general,general,fr,seller,dérivés du cacao fournisseur,global,,Localized or LinkedIn keyword
general,general,fr,seller,exportateur cacao,global,,Localized or LinkedIn keyword
general,general,fr,seller,fournisseur cacao,global,,Localized or LinkedIn keyword
general,general,fr,seller,importateur cacao,global,,Localized or LinkedIn keyword
general,general,pt,seller,exportador de cacau,global,,Localized or LinkedIn keyword
general,general,pt,seller,fornecedor de cacau,global,,Localized or LinkedIn keyword
general,general,pt,seller,importador de cacau,global,,Localized or LinkedIn keyword
linkedin_combo,procurement,en,contact,chocolate manufacturer sourcing manager,global,,Localized or LinkedIn keyword
linkedin_combo,procurement,en,contact,cocoa butter procurement manager,global,,Localized or LinkedIn keyword
linkedin_combo,procurement,en,contact,cocoa importer purchasing manager,global,,Localized or LinkedIn keyword
linkedin_combo,procurement,en,contact,food ingredients purchasing manager,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,head of procurement,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,import manager,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,ingredient buyer,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,procurement manager,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,purchasing manager,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,raw materials buyer,global,,Localized or LinkedIn keyword
linkedin_role,procurement,en,contact,sourcing manager,global,,Localized or LinkedIn keyword
linkedin_role,sales,en,contact,business development manager,global,,Localized or LinkedIn keyword
linkedin_role,supply chain,en,contact,supply chain manager,global,,Localized or LinkedIn keyword
linkedin_role,trading,en,contact,trading manager,global,,Localized or LinkedIn keyword
product,cocoa beans,en,seller,bulk cocoa beans supplier,global,,Product keyword
product,cocoa beans,en,seller,cacao beans exporter,global,,Product keyword
product,cocoa beans,en,seller,cacao beans supplier,global,,Product keyword
product,cocoa beans,en,seller,cocoa beans exporter,global,,Product keyword
product,cocoa beans,en,seller,cocoa beans exporter in Belgium,country,Belgium,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Egypt,country,Egypt,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in France,country,France,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Germany,country,Germany,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Italy,country,Italy,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Morocco,country,Morocco,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Netherlands,country,Netherlands,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Poland,country,Poland,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Portugal,country,Portugal,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Spain,country,Spain,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Switzerland,country,Switzerland,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Tunisia,country,Tunisia,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in Turkey,country,Turkey,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in UAE,country,UAE,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans exporter in UK,country,UK,Geo-targeted keyword
product,cocoa beans,en,seller,cocoa beans supplier,global,,Product keyword
product,cocoa beans,en,seller,cocoa beans trader,global,,Product keyword
product,cocoa beans,en,seller,cocoa beans wholesaler,global,,Product keyword
product,cocoa beans,en,seller,raw cocoa beans supplier,global,,Product keyword
product,cocoa butter,en,seller,bulk cocoa butter supplier,global,,Product keyword
product,cocoa butter,en,seller,cocoa butter exporter,global,,Product keyword
product,cocoa butter,en,seller,cocoa butter manufacturer,global,,Product keyword
product,cocoa butter,en,seller,cocoa butter supplier,global,,Product keyword
product,cocoa butter,en,seller,cocoa butter supplier in Belgium,country,Belgium,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Egypt,country,Egypt,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in France,country,France,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Germany,country,Germany,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Italy,country,Italy,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Morocco,country,Morocco,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Netherlands,country,Netherlands,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Poland,country,Poland,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Portugal,country,Portugal,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Spain,country,Spain,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Switzerland,country,Switzerland,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Tunisia,country,Tunisia,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in Turkey,country,Turkey,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in UAE,country,UAE,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter supplier in UK,country,UK,Geo-targeted keyword
product,cocoa butter,en,seller,cocoa butter wholesaler,global,,Product keyword
product,cocoa butter,en,seller,deodorized cocoa butter supplier,global,,Product keyword
product,cocoa butter,en,seller,food grade cocoa butter supplier,global,,Product keyword
product,cocoa butter,en,seller,natural cocoa butter supplier,global,,Product keyword
product,cocoa butter,en,seller,organic cocoa butter supplier,global,,Product keyword
product,cocoa butter,es,seller,proveedor de manteca de cacao,global,,Localized or LinkedIn keyword
product,cocoa butter,fr,seller,exportateur beurre de cacao,global,,Localized or LinkedIn keyword
product,cocoa butter,fr,seller,fournisseur beurre de cacao,global,,Localized or LinkedIn keyword
product,cocoa butter,pt,seller,fornecedor de manteiga de cacau,global,,Localized or LinkedIn keyword
product,cocoa mass/liquor,en,seller,cocoa liquor exporter,global,,Product keyword
product,cocoa mass/liquor,en,seller,cocoa liquor supplier,global,,Product keyword
product,cocoa mass/liquor,en,seller,cocoa liquor wholesaler,global,,Product keyword
product,cocoa mass/liquor,en,seller,cocoa mass exporter,global,,Product keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier,global,,Product keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Belgium,country,Belgium,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Egypt,country,Egypt,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in France,country,France,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Germany,country,Germany,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Italy,country,Italy,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Morocco,country,Morocco,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Netherlands,country,Netherlands,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Poland,country,Poland,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Portugal,country,Portugal,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Spain,country,Spain,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Switzerland,country,Switzerland,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Tunisia,country,Tunisia,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in Turkey,country,Turkey,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in UAE,country,UAE,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa mass supplier in UK,country,UK,Geo-targeted keyword
product,cocoa mass/liquor,en,seller,cocoa paste supplier,global,,Product keyword
product,cocoa mass/liquor,en,seller,cocoa solids supplier,global,,Product keyword
product,cocoa mass/liquor,fr,seller,liqueur de cacao fournisseur,global,,Localized or LinkedIn keyword
product,cocoa mass/liquor,fr,seller,masse de cacao fournisseur,global,,Localized or LinkedIn keyword
product,cocoa powder,en,seller,alkalized cocoa powder supplier,global,,Product keyword
product,cocoa powder,en,seller,bulk cocoa powder supplier,global,,Product keyword
product,cocoa powder,en,seller,cocoa powder exporter,global,,Product keyword
product,cocoa powder,en,seller,cocoa powder manufacturer,global,,Product keyword
product,cocoa powder,en,seller,cocoa powder supplier,global,,Product keyword
product,cocoa powder,en,seller,cocoa powder supplier in Belgium,country,Belgium,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Egypt,country,Egypt,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in France,country,France,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Germany,country,Germany,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Italy,country,Italy,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Morocco,country,Morocco,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Netherlands,country,Netherlands,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Poland,country,Poland,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Portugal,country,Portugal,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Spain,country,Spain,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Switzerland,country,Switzerland,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Tunisia,country,Tunisia,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in Turkey,country,Turkey,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in UAE,country,UAE,Geo-targeted keyword
product,cocoa powder,en,seller,cocoa powder supplier in UK,country,UK,Geo-targeted keyword
product,cocoa powder,en,seller,natural cocoa powder supplier,global,,Product keyword
product,cocoa powder,en,seller,organic cocoa powder supplier,global,,Product keyword
product,cocoa powder,es,seller,proveedor de cacao en polvo,global,,Localized or LinkedIn keyword
product,cocoa powder,fr,seller,exportateur poudre de cacao,global,,Localized or LinkedIn keyword
product,cocoa powder,fr,seller,fournisseur poudre de cacao,global,,Localized or LinkedIn keyword
product,cocoa powder,pt,seller,fornecedor de pó de cacau,global,,Localized or LinkedIn keyword
product,derivatives,en,seller,cocoa derivatives supplier,global,,Product keyword
product,derivatives,en,seller,cocoa ingredients exporter,global,,Product keyword
product,derivatives,en,seller,cocoa products manufacturer,global,,Product keyword
product,derivatives,en,seller,cocoa semi finished products supplier,global,,Product keyword
product,derivatives,en,seller,semi finished cocoa products supplier,global,,Product keyword
trader,trading,en,trader,cocoa trading company,global,,Trader keyword
trader,trading,en,trader,cocoa trader,global,,Trader keyword
trader,trading,en,trader,cacao trading company,global,,Trader keyword
trader,trading,en,trader,cocoa commodity trader,global,,Trader keyword
trader,trading,en,trader,cocoa commodity trading,global,,Trader keyword
trader,trading,en,trader,cocoa beans trading company,global,,Trader keyword
trader,trading,en,trader,cocoa butter trading company,global,,Trader keyword
trader,trading,en,trader,cocoa powder trading company,global,,Trader keyword
trader,trading,en,trader,soft commodity trader cocoa,global,,Trader keyword
trader,trading,en,trader,agricultural commodity trader cocoa,global,,Trader keyword
trader,trading,en,trader,commodity trading house cocoa,global,,Trader keyword
trader,trading,en,trader,cocoa broker,global,,Trader keyword
trader,trading,en,trader,cocoa brokerage,global,,Trader keyword
trader,trading,en,trader,cocoa trade house,global,,Trader keyword
trader,trading,en,trader,bulk cocoa trader,global,,Trader keyword
trader,trading,en,trader,international cocoa trader,global,,Trader keyword
trader,trading,en,trader,cocoa raw material trader,global,,Trader keyword
trader,trading,en,trader,cocoa futures trader,global,,Trader keyword
trader,trading,en,trader,physical cocoa trader,global,,Trader keyword
trader,trading,fr,trader,negociant cacao,global,,Trader keyword FR
trader,trading,fr,trader,societe de negoce cacao,global,,Trader keyword FR
trader,trading,fr,trader,trader cacao,global,,Trader keyword FR
trader,trading,fr,trader,courtier cacao,global,,Trader keyword FR
trader,trading,fr,trader,maison de negoce cacao,global,,Trader keyword FR
trader,trading,fr,trader,negoce matieres premieres cacao,global,,Trader keyword FR
trader,trading,es,trader,comerciante de cacao,global,,Trader keyword ES
trader,trading,es,trader,empresa de trading cacao,global,,Trader keyword ES
trader,trading,es,trader,corredor de cacao,global,,Trader keyword ES
trader,trading,pt,trader,comerciante de cacau,global,,Trader keyword PT
trader,trading,pt,trader,empresa de trading cacau,global,,Trader keyword PT
trader,trading,en,trader,cocoa trading company in Belgium,country,Belgium,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Egypt,country,Egypt,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in France,country,France,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Germany,country,Germany,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Italy,country,Italy,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Morocco,country,Morocco,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Netherlands,country,Netherlands,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Poland,country,Poland,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Portugal,country,Portugal,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Saudi Arabia,country,Saudi Arabia,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Spain,country,Spain,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Switzerland,country,Switzerland,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Tunisia,country,Tunisia,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in Turkey,country,Turkey,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in UAE,country,UAE,Geo-targeted trader
trader,trading,en,trader,cocoa trading company in UK,country,UK,Geo-targeted trader
trader,trading,en,trader,cocoa broker in Belgium,country,Belgium,Geo-targeted trader
trader,trading,en,trader,cocoa broker in France,country,France,Geo-targeted trader
trader,trading,en,trader,cocoa broker in Germany,country,Germany,Geo-targeted trader
trader,trading,en,trader,cocoa broker in Netherlands,country,Netherlands,Geo-targeted trader
trader,trading,en,trader,cocoa broker in Switzerland,country,Switzerland,Geo-targeted trader
trader,trading,en,trader,cocoa broker in UK,country,UK,Geo-targeted trader
trader,trading,en,trader,cocoa broker in UAE,country,UAE,Geo-targeted trader
